"Abbreviations","States","Biden_Percent","Biden_Votes","Trump_Percent","Trump_Votes","Expected_vote_in"
"AL","Alabama",36.6,849624,62,1441170,"100% in"
"AK","Alaska",42.8,153502,52.8,189543,"99% in"
"AZ","Arizona",49.4,1672143,49.1,1661686,"100% in"
"AR","Arkansas",34.8,423916,62.4,760613,"100% in"
"CA","California",63.5,11082293,34.3,5982194,"100% in"
"CO","Colorado",55.4,1804196,41.9,1364471,"99% in"
"CT","Connecticut",59.2,1080680,39.2,715291,"99% in"
"DE","Delaware",58.8,296268,39.8,200603,"100% in"
"DC","District of Columbia",92.1,317323,5.4,18586,"98% in"
"FL","Florida",47.9,5297045,51.2,5668731,"100% in"
"GA","Georgia",49.5,2474507,49.3,2461837,"100% in"
"HI","Hawaii",63.7,366130,34.3,196864,"100% in"
"ID","Idaho",33.1,287021,63.8,554118,"99% in"
"IL","Illinois",57.5,3460611,40.5,2437755,"99% in"
"IN","Indiana",41,1242495,57,1729852,"100% in"
"IA","Iowa",44.9,758881,53.2,897467,"98% in"
"KS","Kansas",41.3,551144,56.4,752903,"100% in"
"KY","Kentucky",36.2,772474,62.1,1326646,"100% in"
"LA","Louisiana",39.9,856034,58.5,1255776,"100% in"
"ME","Maine",52.8,431277,44.1,360446,"100% in"
"MD","Maryland",65.7,1985023,32.3,976414,"97% in"
"MA","Massachusetts",65.6,2382202,32.1,1167202,"100% in"
"MI","Michigan",50.6,2804040,47.8,2649852,"100% in"
"MN","Minnesota",52.4,1717077,45.3,1484065,"100% in"
"MS","Mississippi",41,539494,57.5,756731,"100% in"
"MO","Missouri",41.4,1253561,56.7,1717912,"99% in"
"MT","Montana",40.4,244786,56.7,343602,"100% in"
"NE","Nebraska",39.3,374583,58.5,556846,"100% in"
"NV","Nevada",50.1,703486,47.7,669890,"100% in"
"NH","New Hampshire",52.8,424921,45.5,365654,"100% in"
"NJ","New Jersey",57.1,2607331,41.2,1882454,"100% in"
"NM","New Mexico",54.3,501614,43.5,401894,"100% in"
"NY","New York",57,4131812,41.5,3003631,"84% in"
"NC","North Carolina",48.6,2684292,49.9,2758773,"100% in"
"ND","North Dakota",31.8,114902,65.1,235595,"100% in"
"OH","Ohio",45.2,2679165,53.3,3154834,"100% in"
"OK","Oklahoma",32.3,503890,65.4,1020280,"100% in"
"OR","Oregon",56.5,1340291,40.4,958410,"99% in"
"PA","Pennsylvania",50,3459923,48.8,3378263,"100% in"
"RI","Rhode Island",59.4,307486,38.6,199922,"99% in"
"SC","South Carolina",43.4,1091541,55.1,1385103,"100% in"
"SD","South Dakota",35.6,150471,61.8,261043,"100% in"
"TN","Tennessee",37.4,1139376,60.7,1849820,"100% in"
"TX","Texas",46.5,5259126,52,5890347,"100% in"
"UT","Utah",37.6,560282,58.1,865140,"100% in"
"VT","Vermont",66.1,242820,30.7,112704,"100% in"
"VA","Virginia",54.1,2413568,44,1962430,"100% in"
"WA","Washington",58.4,2369437,39,1584588,"99% in"
"WV","West Virginia",29.7,235847,68.6,545051,"100% in"
"WI","Wisconsin",49.5,1630716,48.8,1610151,"100% in"
"WY","Wyoming",26.6,73491,69.9,193559,"100% in"
